            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2348316.877083333, A.D. 1717-May-16 09:03:00.0000,  2.867145508811428E+08,  1.453535570278565E+08, -6.262655875797872E+07,
2348681.877083333, A.D. 1718-May-16 09:03:00.0000,  2.878258079599973E+08,  1.435924864127277E+08, -6.247134363202514E+07,
2349046.877083333, A.D. 1719-May-16 09:03:00.0000,  2.888961420205508E+08,  1.418767347273999E+08, -6.231789832159588E+07,
2349412.877083333, A.D. 1720-May-16 09:03:00.0000,  2.872432255731825E+08,  1.429533025096610E+08, -6.232779729440651E+07,
2349777.877083333, A.D. 1721-May-16 09:03:00.0000,  2.883136083501963E+08,  1.412245582947003E+08, -6.216575229668047E+07,
2350142.877083333, A.D. 1722-May-16 09:03:00.0000,  2.893657479525111E+08,  1.394660345082963E+08, -6.199255822130363E+07,
2350507.877083333, A.D. 1723-May-16 09:03:00.0000,  2.903769878714916E+08,  1.376710761578546E+08, -6.181086571607600E+07,
2350873.877083333, A.D. 1724-May-16 09:03:00.0000,  2.887785085924450E+08,  1.386429041451662E+08, -6.181324681735753E+07,
2351238.877083333, A.D. 1725-May-16 09:03:00.0000,  2.898212294786198E+08,  1.368661636540123E+08, -6.162981486218976E+07,
2351603.877083333, A.D. 1726-May-16 09:03:00.0000,  2.908285591949479E+08,  1.350812700348873E+08, -6.143948372965437E+07,
2351968.877083333, A.D. 1727-May-16 09:03:00.0000,  2.918084593429451E+08,  1.332674914467025E+08, -6.123941533541998E+07,
2352334.877083333, A.D. 1728-May-16 09:03:00.0000,  2.901857971420362E+08,  1.342382158023127E+08, -6.123802144059005E+07,
2352699.877083333, A.D. 1729-May-16 09:03:00.0000,  2.911793051271369E+08,  1.323897905494185E+08, -6.103008400539136E+07,
2353064.877083333, A.D. 1730-May-16 09:03:00.0000,  2.921554971707042E+08,  1.305484132540603E+08, -6.081442829550347E+07,
2353429.877083333, A.D. 1731-May-16 09:03:00.0000,  2.930788237502116E+08,  1.287005608100200E+08, -6.059351242629269E+07,
2353795.877083333, A.D. 1732-May-16 09:03:00.0000,  2.914889681349218E+08,  1.296304355999497E+08, -6.058727745553557E+07,
2354160.877083333, A.D. 1733-May-16 09:03:00.0000,  2.924044327738401E+08,  1.277829781964188E+08, -6.035595720157516E+07,
