            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454382.500000000, A.D. 2007-Oct-09 00:00:00.0000, -8.575464564182758E+06,  7.151854401062806E+07, -3.321134787853147E+07,
2454383.500000000, A.D. 2007-Oct-10 00:00:00.0000, -9.757037918077245E+06,  7.002302855515066E+07, -3.348192932854717E+07,
2454384.500000000, A.D. 2007-Oct-11 00:00:00.0000, -1.092141058113053E+07,  6.851812325075683E+07, -3.374433381843676E+07,
2454385.500000000, A.D. 2007-Oct-12 00:00:00.0000, -1.206890083400457E+07,  6.700400249559870E+07, -3.399832257937245E+07,
2454386.500000000, A.D. 2007-Oct-13 00:00:00.0000, -1.319984673003332E+07,  6.548081903793198E+07, -3.424366353795718E+07,
2454387.500000000, A.D. 2007-Oct-14 00:00:00.0000, -1.431460485942437E+07,  6.394870200904357E+07, -3.448013217617400E+07,
2454388.500000000, A.D. 2007-Oct-15 00:00:00.0000, -1.541354901752840E+07,  6.240775512125997E+07, -3.470751229722333E+07,
2454389.500000000, A.D. 2007-Oct-16 00:00:00.0000, -1.649706884937817E+07,  6.085805499446998E+07, -3.492559672022299E+07,
2454390.500000000, A.D. 2007-Oct-17 00:00:00.0000, -1.756556851592304E+07,  5.929964953524336E+07, -3.513418794674524E+07,
2454391.500000000, A.D. 2007-Oct-18 00:00:00.0000, -1.861946537211247E+07,  5.773255626422149E+07, -3.533309885509813E+07,
2454392.500000000, A.D. 2007-Oct-19 00:00:00.0000, -1.965918856821072E+07,  5.615676048280820E+07, -3.552215347748570E+07,
2454393.500000000, A.D. 2007-Oct-20 00:00:00.0000, -2.068517739204688E+07,  5.457221320268191E+07, -3.570118789393435E+07,
2454394.500000000, A.D. 2007-Oct-21 00:00:00.0000, -2.169787907784683E+07,  5.297882884827895E+07, -3.587005122679482E+07,
2454395.500000000, A.D. 2007-Oct-22 00:00:00.0000, -2.269774575342035E+07,  5.137648290157603E+07, -3.602860663248041E+07,
2454396.500000000, A.D. 2007-Oct-23 00:00:00.0000, -2.368523025254539E+07,  4.976500989251386E+07, -3.617673206470269E+07,
2454397.500000000, A.D. 2007-Oct-24 00:00:00.0000, -2.466078078265883E+07,  4.814420239285116E+07, -3.631432045910446E+07,
2454398.500000000, A.D. 2007-Oct-25 00:00:00.0000, -2.562483497162043E+07,  4.651381178841460E+07, -3.644127894969787E+07,
2454399.500000000, A.D. 2007-Oct-26 00:00:00.0000, -2.657781450387575E+07,  4.487355134336558E+07, -3.655752689659693E+07,
2454400.500000000, A.D. 2007-Oct-27 00:00:00.0000, -2.752012198673335E+07,  4.322310129034267E+07, -3.666299293936051E+07,
2454401.500000000, A.D. 2007-Oct-28 00:00:00.0000, -2.845214133558223E+07,  4.156211463555424E+07, -3.675761183305125E+07,
2454402.500000000, A.D. 2007-Oct-29 00:00:00.0000, -2.937424172381839E+07,  3.989022173642275E+07, -3.684132210818654E+07,
2454403.500000000, A.D. 2007-Oct-30 00:00:00.0000, -3.028678367869870E+07,  3.820703206269270E+07, -3.691406534475616E+07,
2454404.500000000, A.D. 2007-Oct-31 00:00:00.0000, -3.119012519576666E+07,  3.651213271753514E+07, -3.697578719828643E+07,
2454405.500000000, A.D. 2007-Nov-01 00:00:00.0000, -3.208462615388756E+07,  3.480508446632187E+07, -3.702643970867159E+07,
2454406.500000000, A.D. 2007-Nov-02 00:00:00.0000, -3.297065033881515E+07,  3.308541653672053E+07, -3.706598419137342E+07,
2454407.500000000, A.D. 2007-Nov-03 00:00:00.0000, -3.384856528751661E+07,  3.135262128300728E+07, -3.709439414091493E+07,
2454408.500000000, A.D. 2007-Nov-04 00:00:00.0000, -3.471874058776574E+07,  2.960614932599401E+07, -3.711165785226307E+07,
2454409.500000000, A.D. 2007-Nov-05 00:00:00.0000, -3.558154527165820E+07,  2.784540533794802E+07, -3.711778070250027E+07,
2454410.500000000, A.D. 2007-Nov-06 00:00:00.0000, -3.643734474709278E+07,  2.606974438057487E+07, -3.711278716711983E+07,
2454411.500000000, A.D. 2007-Nov-07 00:00:00.0000, -3.728649748984291E+07,  2.427846861028901E+07, -3.709672268677869E+07,
2454412.500000000, A.D. 2007-Nov-08 00:00:00.0000, -3.812935154931724E+07,  2.247082417477691E+07, -3.706965548886204E+07,
2454413.500000000, A.D. 2007-Nov-09 00:00:00.0000, -3.896624082022739E+07,  2.064599818157388E+07, -3.703167843475924E+07,
2454414.500000000, A.D. 2007-Nov-10 00:00:00.0000, -3.979748099102054E+07,  1.880311568654038E+07, -3.698291092743044E+07,
2454415.500000000, A.D. 2007-Nov-11 00:00:00.0000, -4.062336508170120E+07,  1.694123670658514E+07, -3.692350088525885E+07,
2454416.500000000, A.D. 2007-Nov-12 00:00:00.0000, -4.144415851022100E+07,  1.505935329516704E+07, -3.685362677272648E+07,
2454417.500000000, A.D. 2007-Nov-13 00:00:00.0000, -4.226009365866241E+07,  1.315638672711003E+07, -3.677349967736696E+07,
2454418.500000000, A.D. 2007-Nov-14 00:00:00.0000, -4.307136392973772E+07,  1.123118482520236E+07, -3.668336543275012E+07,
2454419.500000000, A.D. 2007-Nov-15 00:00:00.0000, -4.387811727728780E+07,  9.282519436722979E+06, -3.658350680207340E+07,
2454420.500000000, A.D. 2007-Nov-16 00:00:00.0000, -4.468044915657279E+07,  7.309084050524175E+06, -3.647424574697911E+07,
2454421.500000000, A.D. 2007-Nov-17 00:00:00.0000, -4.547839477662347E+07,  5.309491553895935E+06, -3.635594580150352E+07,
2454422.500000000, A.D. 2007-Nov-18 00:00:00.0000, -4.627192046492965E+07,  3.282272181475461E+06, -3.622901454264268E+07,
2454423.500000000, A.D. 2007-Nov-19 00:00:00.0000, -4.706091390600795E+07,  1.225871820372984E+06, -3.609390609073390E+07,
2454424.500000000, A.D. 2007-Nov-20 00:00:00.0000, -4.784517304181741E+07, -8.613489924841821E+05, -3.595112348655201E+07,
2454425.500000000, A.D. 2007-Nov-21 00:00:00.0000, -4.862439359375487E+07, -2.981114847018003E+06, -3.580122069898427E+07,
2454426.500000000, A.D. 2007-Nov-22 00:00:00.0000, -4.939815553919929E+07, -5.135233354021609E+06, -3.564480397342369E+07,
2454427.500000000, A.D. 2007-Nov-23 00:00:00.0000, -5.016590940546724E+07, -7.325590626287863E+06, -3.548253232694436E+07,
2454428.500000000, A.D. 2007-Nov-24 00:00:00.0000, -5.092696367671102E+07, -9.554144349109888E+06, -3.531511730316507E+07,
2454429.500000000, A.D. 2007-Nov-25 00:00:00.0000, -5.168047450970168E+07, -1.182291530261753E+07, -3.514332255560034E+07,
2454430.500000000, A.D. 2007-Nov-26 00:00:00.0000, -5.242543804275059E+07, -1.413397891204692E+07, -3.496796416868608E+07,
2454431.500000000, A.D. 2007-Nov-27 00:00:00.0000, -5.316068419045187E+07, -1.648945834326807E+07, -3.478991253399756E+07,
2454432.500000000, A.D. 2007-Nov-28 00:00:00.0000, -5.388486983888443E+07, -1.889151967361610E+07, -3.461009603388840E+07,
2454433.500000000, A.D. 2007-Nov-29 00:00:00.0000, -5.459646946968203E+07, -2.134236835423502E+07, -3.442950609613420E+07,
2454434.500000000, A.D. 2007-Nov-30 00:00:00.0000, -5.529376225636965E+07, -2.384424536413758E+07, -3.424920279895156E+07,
2454435.500000000, A.D. 2007-Dec-01 00:00:00.0000, -5.597481581688716E+07, -2.639942144560140E+07, -3.407032025249857E+07,
2454436.500000000, A.D. 2007-Dec-02 00:00:00.0000, -5.663746747931562E+07, -2.901018830591503E+07, -3.389407127369227E+07,
2454437.500000000, A.D. 2007-Dec-03 00:00:00.0000, -5.727930405215240E+07, -3.167884621775334E+07, -3.372175116091460E+07,
2454438.500000000, A.D. 2007-Dec-04 00:00:00.0000, -5.789764092510556E+07, -3.440768779924780E+07, -3.355474054117976E+07,
